tick,hip_target_deg,hip_actual_deg,hip_track_err_deg,hip_limit_prox,hip_demand,thigh_abdomen_contact,thigh_abdomen_impulse,knee_actual_deg,pelvis_y
0,-0.32,0.00,0.31,0.000,0.026,0,0.000,0.42,0.9793
1,-0.64,0.19,0.84,0.004,0.048,0,0.000,0.15,0.9793
2,-0.96,0.38,1.34,0.008,0.050,0,0.000,-0.09,0.9794
3,-1.28,0.52,1.81,0.012,0.051,0,0.000,-0.28,0.9795
4,-1.61,0.63,2.24,0.014,0.051,0,0.000,-0.45,0.9796
5,-1.91,0.71,2.62,0.016,0.051,0,0.000,-0.56,0.9796
6,-2.26,0.75,3.01,0.017,0.052,0,0.000,-0.64,0.9797
7,-2.59,0.76,3.35,0.017,0.052,0,0.000,-0.70,0.9797
8,-2.92,0.74,3.67,0.017,0.053,0,0.000,-0.70,0.9797
9,-3.26,0.71,3.96,0.016,0.054,0,0.000,-0.67,0.9797
10,-3.59,0.65,4.24,0.014,0.054,0,0.000,-0.62,0.9797
11,-3.93,0.57,4.49,0.013,0.055,0,0.000,-0.53,0.9796
12,-4.26,0.46,4.72,0.010,0.054,0,0.000,-0.42,0.9796
13,-4.60,0.34,4.94,0.007,0.055,0,0.000,-0.28,0.9795
14,-4.94,0.19,5.14,0.004,0.055,0,0.000,-0.13,0.9794
15,-5.29,0.00,5.32,0.000,0.055,0,0.000,0.04,0.9794
16,-5.63,-0.14,5.49,0.001,0.056,0,0.000,0.25,0.9793
17,-5.97,-0.32,5.65,0.003,0.056,0,0.000,0.47,0.9792
18,-6.32,-0.52,5.80,0.004,0.056,0,0.000,0.71,0.9791
19,-6.67,-0.74,5.93,0.006,0.056,0,0.000,0.95,0.9790
20,-7.02,-0.96,6.05,0.008,0.057,0,0.000,1.22,0.9789
21,-7.37,-1.20,6.17,0.010,0.057,0,0.000,1.50,0.9788
22,-7.72,-1.44,6.27,0.012,0.057,0,0.000,1.79,0.9787
23,-8.07,-1.70,6.36,0.014,0.057,0,0.000,2.09,0.9785
24,-8.42,-1.97,6.45,0.016,0.057,0,0.000,2.40,0.9784
25,-8.78,-2.24,6.53,0.019,0.057,0,0.000,2.71,0.9783
26,-9.13,-2.53,6.60,0.021,0.057,0,0.000,3.04,0.9781
27,-9.49,-2.82,6.67,0.023,0.057,0,0.000,3.36,0.9780
28,-9.85,-3.11,6.73,0.026,0.057,0,0.000,3.70,0.9778
29,-10.20,-3.42,6.79,0.028,0.057,0,0.000,4.05,0.9776
30,-10.56,-3.73,6.83,0.031,0.057,0,0.000,4.40,0.9774
31,-10.92,-4.04,6.88,0.034,0.057,0,0.000,4.76,0.9772
32,-11.28,-4.37,6.92,0.036,0.057,0,0.000,5.12,0.9770
33,-11.65,-4.70,6.95,0.039,0.057,0,0.000,5.49,0.9767
34,-12.01,-5.03,6.98,0.042,0.057,0,0.000,5.86,0.9764
35,-12.37,-5.37,7.01,0.045,0.057,0,0.000,6.24,0.9762
36,-12.74,-5.71,7.02,0.048,0.056,0,0.000,6.62,0.9759
37,-13.10,-6.06,7.05,0.050,0.056,0,0.000,7.01,0.9756
38,-13.47,-6.41,7.06,0.053,0.056,0,0.000,7.40,0.9753
39,-13.84,-6.77,7.07,0.056,0.056,0,0.000,7.80,0.9750
40,-14.21,-7.13,7.08,0.059,0.056,0,0.000,8.19,0.9746
41,-14.57,-7.49,7.09,0.062,0.056,0,0.000,8.60,0.9743
42,-14.94,-7.85,7.09,0.065,0.055,0,0.000,9.00,0.9739
43,-15.31,-8.22,7.09,0.068,0.056,0,0.000,9.41,0.9736
44,-15.68,-8.59,7.09,0.072,0.055,0,0.000,9.82,0.9731
45,-16.05,-8.96,7.09,0.075,0.055,0,0.000,10.23,0.9727
46,-16.42,-9.34,7.08,0.078,0.055,0,0.000,10.65,0.9723
47,-16.80,-9.71,7.08,0.081,0.055,0,0.000,11.07,0.9719
48,-17.17,-10.09,7.07,0.084,0.055,0,0.000,11.49,0.9714
49,-17.54,-10.47,7.06,0.087,0.055,0,0.000,11.91,0.9709
50,-17.91,-10.86,7.05,0.090,0.054,0,0.000,12.34,0.9704
51,-18.29,-11.24,7.04,0.094,0.054,0,0.000,12.77,0.9699
52,-18.66,-11.63,7.03,0.097,0.054,0,0.000,13.19,0.9694
